Number,Name,y,x,District,Public,Total docks
M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Cambridge,Yes,19
M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36920617,-71.11710638,Cambridge,Yes,21
D32026,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,Boston,Yes,0
K32010,High St at Cypress St,42.32538436,-71.12177596,Brookline,Yes,15
B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,Boston,Yes,25
A32040,Honan Library,42.3602737,-71.12852452,Boston,Yes,15
B32033,Huntington Ave at Mass Art,42.33658555,-71.09886996,Boston,Yes,15
M32044,Huron Ave At Vassal Lane,42.38165061,-71.13426981,Cambridge,Yes,19
C32089,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,Boston,Yes,15
E32003,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,Boston,Yes,15
C32020,ID Building East,42.344827,-71.028664,Boston,Yes,17
C32021,ID Building West,42.344796,-71.031614,Boston,Yes,19
C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,Yes,15
M32062,Inman Square at Springfield St.,42.37438409,-71.10015746,Cambridge,Yes,19
A32011,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,Boston,Yes,19
E32006,Jackson Square T Stop,42.32293117,-71.10014141,Boston,Yes,18
D32052,Jamaica St at South St,42.30604563,-71.11570891,Boston,Yes,19
K32004,JFK Crossing at Harvard St. / Thorndike St.,42.34655124,-71.12833211,Brookline,Yes,15
C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Boston,Yes,15
V32013,Kearins Playground,42.40616124,-71.06041655,Everett,Yes,11
M32032,Kendall Street,42.36356016,-71.08216792,Cambridge,Yes,15
M32004,Kendall T,42.36242784,-71.08495474,Cambridge,Yes,23
B32010,Kenmore Square,42.348706,-71.097009,Boston,Yes,27
M32065,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,Cambridge,Yes,19
M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,Cambridge,Yes,15
B32015,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,Boston,Yes,15
N32008,Langley Lot,42.330528,-71.192861,Newton,Yes,11
B32058,Lansdowne T Stop,42.34734473,-71.10016808,Boston,Yes,27
M32001,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Cambridge,Yes,19
M32039,Lesley University,42.38674802,-71.11901879,Cambridge,Yes,15
D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,Yes,19
M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,Cambridge,Yes,19
A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,Yes,15
M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,Cambridge,Yes,19
S32013,Magoun Square at Trum Field,42.3977834,-71.10594004,Somerville,Yes,19
D32020,Main St at Austin St,42.375603,-71.064608,Boston,Yes,11
D32036,Main St at Baldwin St,42.380857,-71.070629,Boston,Yes,19
D32038,Main St at Thompson Sq,42.37487847,-71.06383499,Boston,Yes,15
K32012,Marion St at Harvard St,42.33978053,-71.1213335,Brookline,Yes,15
A32048,Marion St at White St,42.38066931,-71.03907316,Boston,Yes,0
E32012,Martha Eliot Health Center,42.324173,-71.10196,Boston,Yes,16
M32061,Mass Ave at Albany St,42.36135838,-71.09670274,Cambridge,Yes,18
