tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
214,14:19.6,17:54.0,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,107,Ames St at Main St,42.3625,-71.08822,5999,Subscriber,1999,1,201802,-71.09254897,42.35994942,203986,-71.08733726,42.36046472,33259,33474
459,14:39.9,22:19.2,144,Rogers St & Land Blvd,42.36575798,-71.07699394,107,Ames St at Main St,42.3625,-71.08822,2589,Subscriber,1973,2,23667,-71.07818654,42.36639053,69952,-71.08810427,42.36388695,33279,33739
435,18:09.5,25:25.1,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,107,Ames St at Main St,42.3625,-71.08822,3206,Subscriber,1992,2,134195,-71.09013021,42.37307273,69970,-71.0886759,42.36022586,33489,33925
232,18:48.2,22:40.9,117,Binney St / Sixth St,42.36608797,-71.08633604,107,Ames St at Main St,42.3625,-71.08822,2118,Subscriber,1996,2,225149,-71.0870465,42.36552715,203987,-71.08763166,42.36084452,33528,33760
327,21:12.8,26:40.0,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,141,Kendall Street,42.36356016,-71.08216792,5669,Subscriber,1994,1,43838,-71.09195835,42.36477209,28,-71.0814036,42.36390706,33672,34000
544,21:48.9,30:53.9,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,141,Kendall Street,42.36356016,-71.08216792,2299,Subscriber,1970,1,65819,-71.09107153,42.3736495,174,-71.08235975,42.36469273,33708,34253
139,23:03.3,25:22.7,117,Binney St / Sixth St,42.36608797,-71.08633604,107,Ames St at Main St,42.3625,-71.08822,4007,Subscriber,1992,1,52844,-71.08328591,42.36621679,69970,-71.0886759,42.36022586,33783,33922
179,23:18.9,26:18.3,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,107,Ames St at Main St,42.3625,-71.08822,3352,Subscriber,1961,1,203547,-71.08260139,42.36135795,203985,-71.08662682,42.36103454,33798,33978
384,27:06.1,33:31.1,189,Kendall T,42.36242784,-71.08495474,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5789,Subscriber,1994,1,259920,-71.08765373,42.36325299,4324,-71.09505494,42.35814262,34026,34411
187,31:24.9,34:32.3,185,Third at Binney,42.36544486,-71.08277142,107,Ames St at Main St,42.3625,-71.08822,4936,Subscriber,1997,1,101983,-71.08189635,42.36791086,203988,-71.08749692,42.36175463,34284,34472
224,32:43.0,36:27.1,189,Kendall T,42.36242784,-71.08495474,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,3130,Subscriber,1994,1,259920,-71.08765373,42.36325299,127786,-71.09197888,42.36894278,34363,34587
113,33:52.7,35:46.3,189,Kendall T,42.36242784,-71.08495474,107,Ames St at Main St,42.3625,-71.08822,4022,Subscriber,1956,1,100970,-71.08546297,42.36210025,203987,-71.08763166,42.36084452,34432,34546
608,34:20.7,44:28.8,189,Kendall T,42.36242784,-71.08495474,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,3290,Subscriber,1994,1,50515,-71.08726449,42.36220002,225639,-71.0787089,42.37179057,34460,35068
285,36:34.2,41:20.0,398,75 Binney St,42.36550729,-71.0801376,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,6138,Subscriber,1991,1,154705,-71.0801518,42.3649565,103013,-71.09429844,42.36813445,34594,34880
265,39:03.4,43:28.5,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,107,Ames St at Main St,42.3625,-71.08822,2710,Subscriber,1993,1,201812,-71.09086412,42.36000028,101528,-71.08748081,42.36280808,34743,35008
452,45:17.7,52:50.5,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,107,Ames St at Main St,42.3625,-71.08822,2107,Subscriber,1997,1,102863,-71.08873898,42.37200421,259920,-71.08765373,42.36325299,35117,35570
183,48:05.0,51:08.6,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,3529,Subscriber,1987,1,44496,-71.09290345,42.36657334,201818,-71.09232853,42.36109989,35285,35468
242,48:22.0,52:24.9,185,Third at Binney,42.36544486,-71.08277142,107,Ames St at Main St,42.3625,-71.08822,3630,Subscriber,1996,1,225198,-71.08482478,42.36580045,203987,-71.08763166,42.36084452,35301,35544
266,49:29.3,53:55.6,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,107,Ames St at Main St,42.3625,-71.08822,5012,Subscriber,1989,1,26163,-71.09394509,42.36121602,124885,-71.09067027,42.36242428,35369,35635
215,51:19.6,54:55.4,185,Third at Binney,42.36544486,-71.08277142,107,Ames St at Main St,42.3625,-71.08822,5101,Subscriber,1996,1,225269,-71.08435148,42.36380294,246768,-71.08998606,42.36150932,35479,35695
354,55:40.7,01:34.8,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,3420,Subscriber,1992,2,135264,-71.07836968,42.37138944,100937,-71.08234246,42.36236216,35740,36094
331,56:07.7,01:39.2,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,189,Kendall T,42.36242784,-71.08495474,5444,Subscriber,2001,2,201813,-71.09083126,42.35967648,128198,-71.08374094,42.36496042,35767,36099
327,58:28.8,03:56.2,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,189,Kendall T,42.36242784,-71.08495474,2833,Subscriber,2001,2,4334,-71.09414158,42.35832148,203547,-71.08260139,42.36135795,35908,36236
370,59:57.8,06:08.5,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,4921,Subscriber,1985,2,225269,-71.08435148,42.36380294,11354,-71.07814182,42.36903119,35997,36368
325,00:11.0,05:37.0,189,Kendall T,42.36242784,-71.08495474,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,3951,Subscriber,1981,1,203984,-71.08692828,42.36167285,180715,-71.07853442,42.37031485,36011,36336
448,03:01.2,10:29.9,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,107,Ames St at Main St,42.3625,-71.08822,5263,Subscriber,1979,1,153408,-71.07797472,42.36706666,4322,-71.08934074,42.36031884,36181,36629
388,03:02.0,09:30.8,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,228,One Memorial Drive,42.36161932,-71.08043551,2519,Subscriber,1964,1,4323,-71.09477063,42.35904934,203469,-71.0809096,42.36389212,36182,36570
458,03:42.0,11:20.5,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,3662,Subscriber,1970,1,45039,-71.09234565,42.36744646,128324,-71.08000641,42.36285998,36222,36680
223,08:17.2,12:00.6,185,Third at Binney,42.36544486,-71.08277142,107,Ames St at Main St,42.3625,-71.08822,5174,Subscriber,1997,1,156674,-71.08349965,42.36706791,246685,-71.09053915,42.363431,36497,36720
314,10:33.7,15:48.7,141,Kendall Street,42.36356016,-71.08216792,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,3920,Subscriber,1987,2,153300,-71.08472255,42.36206325,4320,-71.09164183,42.3623479,36633,36948
106,10:37.3,12:23.3,318,Ames St at Broadway,42.3636929,-71.0875672,189,Kendall T,42.36242784,-71.08495474,2789,Subscriber,1970,0,246684,-71.09098619,42.36326769,224974,-71.08321662,42.36143689,36637,36743
100,15:40.6,17:20.8,318,Ames St at Broadway,42.3636929,-71.0875672,189,Kendall T,42.36242784,-71.08495474,2326,Subscriber,1970,0,202175,-71.08865214,42.36359773,45037,-71.08747349,42.36437315,36940,37040
98,19:56.1,21:34.2,318,Ames St at Broadway,42.3636929,-71.0875672,189,Kendall T,42.36242784,-71.08495474,5181,Subscriber,1970,0,203474,-71.08617738,42.36479214,4332,-71.08353677,42.36120873,37196,37294
97,23:46.3,25:23.4,318,Ames St at Broadway,42.3636929,-71.0875672,189,Kendall T,42.36242784,-71.08495474,3756,Subscriber,1970,0,125217,-71.08902574,42.36428884,4330,-71.08450278,42.3605652,37426,37523
249,25:31.4,29:41.3,185,Third at Binney,42.36544486,-71.08277142,107,Ames St at Main St,42.3625,-71.08822,5254,Subscriber,1990,1,203469,-71.0809096,42.36389212,259920,-71.08765373,42.36325299,37531,37781
141,27:49.8,30:11.7,318,Ames St at Broadway,42.3636929,-71.0875672,189,Kendall T,42.36242784,-71.08495474,4268,Subscriber,1970,0,190149,-71.08845472,42.3654104,4330,-71.08450278,42.3605652,37669,37811
230,29:40.7,33:30.7,398,75 Binney St,42.36550729,-71.0801376,318,Ames St at Broadway,42.3636929,-71.0875672,2051,Subscriber,1962,1,187830,-71.07927265,42.36361414,225149,-71.0870465,42.36552715,37780,38010
69,32:56.2,34:05.4,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,141,Kendall Street,42.36356016,-71.08216792,2291,Subscriber,1970,0,257060,-71.08308255,42.36418165,246696,-71.07926623,42.36430443,37976,38045
66,35:55.5,37:02.3,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,141,Kendall Street,42.36356016,-71.08216792,2285,Subscriber,1970,0,260667,-71.0815805,42.36302972,257515,-71.0808838,42.36514465,38155,38222
68,38:57.9,40:06.3,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,141,Kendall Street,42.36356016,-71.08216792,789,Subscriber,1970,0,259917,-71.08583953,42.36188829,203468,-71.08062887,42.3644804,38337,38406
171,39:39.2,42:31.1,318,Ames St at Broadway,42.3636929,-71.0875672,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,4700,Subscriber,1996,2,203988,-71.08749692,42.36175463,52850,-71.09075464,42.36676762,38379,38551
282,39:56.7,44:39.4,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,189,Kendall T,42.36242784,-71.08495474,6027,Subscriber,1997,2,152966,-71.09371104,42.36337264,246356,-71.08160792,42.3623512,38396,38679
271,41:36.9,46:08.4,318,Ames St at Broadway,42.3636929,-71.0875672,398,75 Binney St,42.36550729,-71.0801376,5580,Subscriber,1962,1,259917,-71.08583953,42.36188829,225074,-71.07934407,42.36571397,38496,38768
